hotspot_geometry,hotspot_tag,hotspot_location
"POLYGON ((-6.2766306 53.258405, -6.2765994 53.2583672, -6.276576 53.2583185, -6.2763145 53.2583618, -6.2763014 53.2583633, -6.2761873 53.2583765, -6.2760105 53.2584066, -6.275796 53.2584424, -6.2756731 53.2585025, -6.2756662 53.25852, -6.2756749 53.2585406, -6.2756985 53.2585704, -6.2758135 53.2585682, -6.2759588 53.2585683, -6.2761078 53.2585518, -6.2762082 53.2585284, -6.276464 53.2584584, -6.2766306 53.258405))",parking,Kilmashogue Woods
"POLYGON ((-6.26873 53.2997744, -6.2685245 53.3000246, -6.2681709 53.2999559, -6.2682018 53.2999191, -6.2682782 53.2997892, -6.2682956 53.2997075, -6.26873 53.2997744))",parking,
"POLYGON ((-6.2865362 53.2977832, -6.2864964 53.2976173, -6.2864101 53.2976136, -6.2863979 53.2976655, -6.286096 53.2976257, -6.2855644 53.2975514, -6.2853265 53.297374, -6.2852538 53.2973735, -6.2852415 53.2973552, -6.285264 53.2973251, -6.2852298 53.2972915, -6.2852384 53.2972579, -6.2850997 53.297214, -6.2850616 53.2972842, -6.2851043 53.2975774, -6.2851863 53.2975925, -6.2860218 53.2977105, -6.2863977 53.2977636, -6.2865362 53.2977832))",parking,Village Court
"POLYGON ((-6.2811476 53.2946787, -6.2814158 53.2948047, -6.2815588 53.2947035, -6.2812306 53.2945181, -6.2811641 53.294561, -6.2811476 53.2946787))",parking,
"POLYGON ((-6.3908776 53.321329, -6.3908912 53.3211727, -6.3907746 53.3211575, -6.3898103 53.3209499, -6.3897771 53.321017, -6.3897412 53.32107, -6.3908776 53.321329))",parking,Castle Crescent
"POLYGON ((-6.2943802 53.3082963, -6.2948721 53.3081189, -6.2948192 53.3080078, -6.2948069 53.307982, -6.2947962 53.3079596, -6.2945181 53.3073762, -6.2945265 53.3072875, -6.2938155 53.3073942, -6.2938987 53.3075332, -6.2940743 53.3078655, -6.2941677 53.3079796, -6.2941801 53.3079963, -6.2941939 53.30801, -6.2942614 53.3081133, -6.2943643 53.3082706, -6.2943802 53.3082963))",parking,
"POLYGON ((-6.3341347 53.349534, -6.3341764 53.3494838, -6.3342276 53.3494487, -6.3347101 53.349451, -6.3350286 53.349457, -6.3350811 53.3494488, -6.3353782 53.3494437, -6.3353819 53.3494226, -6.3354882 53.3489663, -6.3370426 53.3491273, -6.3374174 53.3491559, -6.337594 53.3491693, -6.3375836 53.3492178, -6.3377718 53.349213, -6.3381435 53.3493242, -6.3383279 53.3494416, -6.3384769 53.3496049, -6.3386357 53.3495655, -6.3389757 53.349751, -6.339436 53.3499882, -6.3397615 53.3501348, -6.3398413 53.3501708, -6.3399507 53.350243, -6.3399606 53.3504661, -6.3397442 53.3509357, -6.3398777 53.3511704, -6.3401413 53.3514297, -6.3403538 53.351634, -6.3404246 53.3517256, -6.3403498 53.3518148, -6.3398755 53.3521069, -6.3391612 53.3524839, -6.3379037 53.3528593, -6.3371515 53.3527654, -6.3363799 53.3526881, -6.3361569 53.3526658, -6.3354268 53.3524422, -6.3350648 53.3522638, -6.3348099 53.3518674, -6.3345298 53.3511178, -6.334363 53.3505129, -6.3341924 53.3500354, -6.334171 53.3499756, -6.3341347 53.349534))",hospital,Saint Mary's Hospital
"POLYGON ((-6.3350308 53.3509257, -6.3354635 53.3509588, -6.3355645 53.3504893, -6.3351318 53.3504561, -6.3350308 53.3509257))",parking,
"POLYGON ((-6.5367549 53.3324309, -6.5368111 53.3323894, -6.5365544 53.3322595, -6.5364945 53.332303, -6.5367549 53.3324309))",parking,
"POLYGON ((-6.5391643 53.3338281, -6.5392929 53.3337416, -6.5393373 53.3337118, -6.5392988 53.3336895, -6.5393727 53.3336441, -6.5391763 53.3335474, -6.5390749 53.333618, -6.5389421 53.3337091, -6.5391643 53.3338281))",parking,
"POLYGON ((-6.5386374 53.3334043, -6.5387002 53.3333585, -6.5380973 53.3330633, -6.5378108 53.3329231, -6.537748 53.3329689, -6.5386374 53.3334043))",parking,
"POLYGON ((-6.5399918 53.3341562, -6.5401719 53.3340571, -6.5396998 53.3337937, -6.5396064 53.3338485, -6.539525 53.333901, -6.539598 53.3339399, -6.5397744 53.3340413, -6.5399918 53.3341562))",parking,
"POLYGON ((-6.5373781 53.33276, -6.5368394 53.3324735, -6.536912 53.3324201, -6.5374513 53.3327085, -6.5373781 53.33276))",parking,
"POLYGON ((-6.5403571 53.3346365, -6.540443 53.334683, -6.540681 53.3345261, -6.5406787 53.3345248, -6.54073 53.3344909, -6.5406464 53.3344457, -6.5404887 53.3345497, -6.5403571 53.3346365))",parking,
"POLYGON ((-6.5410719 53.3386232, -6.5413203 53.3383976, -6.5413955 53.338418, -6.5414254 53.3383721, -6.5414337 53.3383404, -6.5409068 53.3381492, -6.5408569 53.3381955, -6.5406393 53.3381209, -6.5405124 53.3382244, -6.54066 53.3383013, -6.5404953 53.3384417, -6.5410719 53.3386232))",parking,
"POLYGON ((-6.4009704 53.2828544, -6.4007968 53.2831817, -6.4006735 53.2831638, -6.4005694 53.2831426, -6.4007509 53.2828186, -6.4008569 53.2828369, -6.4009704 53.2828544))",parking,
"POLYGON ((-6.4000314 53.2828412, -6.3998659 53.28282, -6.3998603 53.2828387, -6.3996972 53.282815, -6.3996616 53.2828099, -6.3997687 53.2825443, -6.400096 53.2824834, -6.4001797 53.2825003, -6.400096 53.2826879, -6.4000314 53.2828412))",parking,
"POLYGON ((-6.4085248 53.2850751, -6.4083884 53.2850977, -6.408013 53.2851884, -6.4078387 53.2852632, -6.4078387 53.2849867, -6.4075922 53.2849821, -6.4075847 53.2849436, -6.4072965 53.2849414, -6.4072928 53.2853085, -6.4069743 53.2851861, -6.4069809 53.2846655, -6.4078083 53.2846671, -6.4078083 53.2849051, -6.4085172 53.2849142, -6.4085201 53.2849755, -6.4085248 53.2850751))",parking,
"POLYGON ((-6.2782568 53.3451968, -6.2784533 53.3447923, -6.2777712 53.3446863, -6.2776669 53.3449522, -6.2776541 53.3450927, -6.2782568 53.3451968))",parking,Usher's Quay Car Park
"POLYGON ((-6.3673876 53.2767124, -6.3673903 53.2764424, -6.3665113 53.2764167, -6.3665086 53.2766867, -6.3673876 53.2767124))",parking,
"POLYGON ((-6.3674345 53.2756546, -6.3665221 53.2756628, -6.3665221 53.2758251, -6.3667694 53.27583, -6.3667667 53.275875, -6.3674439 53.2758833, -6.3674345 53.2756546))",parking,
"POLYGON ((-6.4266715 53.2925447, -6.4266553 53.2931638, -6.4264275 53.2931952, -6.425736 53.2932488, -6.4252823 53.2932632, -6.4241033 53.2932576, -6.4224726 53.2932166, -6.4224758 53.2924625, -6.4227374 53.2924637, -6.422711 53.293053, -6.4255429 53.2931002, -6.4255681 53.2925259, -6.4266715 53.2925447))",parking,
"POLYGON ((-6.4246895 53.2924951, -6.4247962 53.2924645, -6.4249138 53.2924566, -6.4250291 53.2924724, -6.4251293 53.2925101, -6.425203 53.2925654, -6.425242 53.2926321, -6.425242 53.2927028, -6.4252029 53.2927696, -6.4251292 53.2928249, -6.4250326 53.2928617, -6.4249214 53.292878, -6.4248073 53.2928723, -6.4247023 53.292845, -6.4246173 53.2927991, -6.4245614 53.2927393, -6.4245404 53.2926721, -6.4245565 53.2926043, -6.424608 53.2925432, -6.4246895 53.2924951))",parking,
"POLYGON ((-6.4231842 53.2924779, -6.4232909 53.2924473, -6.4234085 53.2924394, -6.4235239 53.2924553, -6.4236241 53.292493, -6.4236978 53.2925483, -6.4237369 53.2926151, -6.4237368 53.2926858, -6.4236977 53.2927526, -6.423624 53.2928079, -6.4235273 53.2928447, -6.423416 53.2928611, -6.4233018 53.2928553, -6.4231967 53.292828, -6.4231117 53.2927821, -6.4230558 53.2927223, -6.4230348 53.2926549, -6.423051 53.2925871, -6.4231026 53.292526, -6.4231842 53.2924779))",parking,
"POLYGON ((-6.3802462 53.3233596, -6.3799106 53.3234876, -6.3798809 53.3234611, -6.3797041 53.3232902, -6.3800629 53.3231807, -6.3802462 53.3233596))",parking,
"POLYGON ((-6.3798125 53.3237081, -6.3795337 53.3238037, -6.3793731 53.323659, -6.3792349 53.3236051, -6.3796933 53.3234107, -6.3797991 53.3234926, -6.3798689 53.3235722, -6.3797347 53.323623, -6.3798125 53.3237081))",parking,
"POLYGON ((-6.3945007 53.3196114, -6.3945058 53.3197528, -6.3944888 53.3201695, -6.3944854 53.3201847, -6.3941109 53.3201907, -6.3940063 53.3196244, -6.3942526 53.3195992, -6.3945007 53.3196114))",parking,
"POLYGON ((-6.3971282 53.2773159, -6.396884 53.2775096, -6.3968314 53.2775151, -6.3967774 53.2775075, -6.3963304 53.2777416, -6.3961652 53.2775986, -6.3962515 53.2775514, -6.3964255 53.2773322, -6.3967643 53.2773199, -6.3971282 53.2773159))",parking,Jobstown House
"POLYGON ((-6.4105498 53.2744595, -6.4104008 53.2744472, -6.4103947 53.2744737, -6.410392 53.2744855, -6.4102469 53.2744736, -6.4102501 53.2744597, -6.4102719 53.2743646, -6.410566 53.2743888, -6.4105498 53.2744595))",fuel,Circle K Blessington Road
"POLYGON ((-6.2891819 53.3355124, -6.2885907 53.335379, -6.288458 53.3353491, -6.2881892 53.3352232, -6.2879858 53.3351939, -6.2878112 53.3351343, -6.2874263 53.3352719, -6.2870388 53.3348786, -6.2865337 53.3343337, -6.2875152 53.3343685, -6.2876627 53.3343728, -6.2877156 53.3343742, -6.2882131 53.3343958, -6.2882491 53.3343228, -6.2882573 53.3343061, -6.2882791 53.3342293, -6.2883037 53.3341424, -6.2883401 53.3340143, -6.2883891 53.3338414, -6.2891985 53.3339274, -6.289253 53.3339306, -6.2900096 53.3340936, -6.2898801 53.3343345, -6.2895396 53.335019, -6.2895156 53.3350674, -6.2894864 53.3351263, -6.2893508 53.3353568, -6.2892067 53.3354744, -6.2891819 53.3355124))",hospital,Coombe Women & Infants University Hospital
"POLYGON ((-6.3038912 53.3288389, -6.3040443 53.3291153, -6.3043734 53.3297203, -6.3038051 53.3298582, -6.3033754 53.3299597, -6.3028445 53.3290775, -6.302844 53.3290639, -6.302851 53.3290513, -6.3028632 53.3290421, -6.3028808 53.3290338, -6.3029089 53.3290288, -6.3029321 53.3290287, -6.3029534 53.3290343, -6.302971 53.3290446, -6.3038912 53.3288389))",college,Crumlin College of Further Education
"POLYGON ((-6.3016323 53.3426415, -6.301577 53.3426482, -6.3015256 53.3426542, -6.3015099 53.3426066, -6.3014336 53.3426159, -6.3012983 53.3421881, -6.3012845 53.3421393, -6.3012647 53.342069, -6.3025328 53.3418865, -6.3035696 53.3417606, -6.303595 53.3418412, -6.3037725 53.3418268, -6.303897 53.3422128, -6.3037154 53.3422363, -6.3037498 53.3423259, -6.3035395 53.3423504, -6.3016165 53.3425929, -6.3016217 53.3426088, -6.3016323 53.3426415))",parking,
"POLYGON ((-6.3394497 53.2870863, -6.3393038 53.2870806, -6.3389658 53.2872506, -6.338958 53.2873483, -6.3394265 53.2873623, -6.3394497 53.2870863))",parking,
"POLYGON ((-6.4173635 53.2890544, -6.4175394 53.2888966, -6.4177462 53.2887591, -6.4176932 53.2887165, -6.4176396 53.2886166, -6.4175913 53.2886277, -6.4167398 53.2888208, -6.4170709 53.28891, -6.4171736 53.289104, -6.4172196 53.2891259, -6.4172426 53.2891538, -6.4172274 53.289175, -6.417263 53.2891812, -6.4173635 53.2890544))",parking,
"POLYGON ((-6.4180658 53.2883138, -6.4180404 53.2882939, -6.4179907 53.2883072, -6.4175385 53.2884487, -6.4166972 53.2886643, -6.4167119 53.2887222, -6.4175409 53.2885455, -6.4175845 53.2885292, -6.4178677 53.2884234, -6.4180658 53.2883138))",parking,
"POLYGON ((-6.263338 53.3486034, -6.2623761 53.3487996, -6.2623597 53.3487656, -6.2621324 53.348296, -6.2621959 53.348286, -6.2621686 53.3482055, -6.2622354 53.3481978, -6.2622999 53.3481904, -6.2623254 53.3482655, -6.2631289 53.3481384, -6.2632535 53.3484154, -6.2632693 53.3484528, -6.263338 53.3486034))",parking,Arnotts
"POLYGON ((-6.3447899 53.31279, -6.3447392 53.3126717, -6.3446772 53.3125011, -6.3445774 53.3123654, -6.3442895 53.3124139, -6.3445641 53.3128622, -6.3447184 53.3128332, -6.3447899 53.31279))",parking,
"POLYGON ((-6.3444044 53.312286, -6.3443514 53.3121972, -6.3442418 53.3122119, -6.3435394 53.3123588, -6.3431225 53.3124599, -6.3427711 53.3125371, -6.3426364 53.3126614, -6.3438841 53.3123994, -6.3444044 53.312286))",parking,
"POLYGON ((-6.3504916 53.3102076, -6.3505656 53.3101147, -6.3505101 53.3100971, -6.3506656 53.3098803, -6.3510542 53.3099732, -6.3511684 53.3099222, -6.3513466 53.3098427, -6.3507655 53.309668, -6.3501104 53.3095287, -6.3498069 53.3100683, -6.3504916 53.3102076))",parking,
"POLYGON ((-6.3117111 53.3032841, -6.3119886 53.3029117, -6.3116896 53.3028322, -6.3114122 53.3032046, -6.3117111 53.3032841))",parking,
"POLYGON ((-6.3124201 53.3024448, -6.3126984 53.3020815, -6.3123221 53.3019785, -6.3120438 53.3023418, -6.3124201 53.3024448))",parking,
"POLYGON ((-6.298579 53.2958897, -6.2983803 53.2959794, -6.2982945 53.2959344, -6.2980147 53.2957972, -6.2974304 53.2962229, -6.2974558 53.2962353, -6.2972541 53.2965663, -6.2972402 53.2965637, -6.2971826 53.2965531, -6.2971704 53.2965538, -6.2971593 53.2965569, -6.2971504 53.2965619, -6.2971446 53.2965683, -6.2971425 53.2965755, -6.2971437 53.2965814, -6.2971475 53.296587, -6.2971535 53.2965917, -6.2971614 53.2965953, -6.2972159 53.296605, -6.2972291 53.2966073, -6.2969217 53.2971118, -6.2969071 53.2971086, -6.2963995 53.2979416, -6.2967771 53.298018, -6.2968263 53.2980286, -6.2966321 53.2983719, -6.2962286 53.2983518, -6.2961652 53.2983342, -6.2961106 53.298309, -6.2960875 53.2982156, -6.296086 53.2980623, -6.2961209 53.2978707, -6.2961921 53.2976382, -6.2964749 53.2972361, -6.2965596 53.2970781, -6.2966046 53.2969407, -6.2966258 53.2968185, -6.2965348 53.2964842, -6.2965239 53.2963572, -6.2965366 53.2963013, -6.2965833 53.2962454, -6.2970715 53.2960777, -6.297365 53.2959645, -6.2974921 53.2959152, -6.297879 53.2957649, -6.2985106 53.2954424, -6.2988476 53.2957263, -6.2987846 53.2957521, -6.2988104 53.2957719, -6.298579 53.2958897))",parking,
"POLYGON ((-6.2681778 53.3356534, -6.2682663 53.3356485, -6.2683088 53.3358889, -6.2682184 53.3358946, -6.2681778 53.3356534))",parking,
"POLYGON ((-6.3679691 53.28585, -6.3681263 53.285839, -6.36817 53.2860102, -6.3681113 53.2860186, -6.3681343 53.2860967, -6.3679255 53.2861199, -6.3679412 53.2861679, -6.3680107 53.286159, -6.3680152 53.2861762, -6.3680144 53.2861923, -6.3680019 53.2862092, -6.3679828 53.2862213, -6.3679543 53.2862311, -6.3679203 53.2862359, -6.3675556 53.2862769, -6.3675493 53.2862656, -6.3675421 53.2862573, -6.3675281 53.2862513, -6.3673379 53.286272, -6.367332 53.2862783, -6.3673297 53.2862872, -6.3673314 53.2862966, -6.3668511 53.2863488, -6.3668117 53.2863481, -6.3667666 53.2863437, -6.3667348 53.2863361, -6.3667056 53.2863224, -6.3666837 53.2863059, -6.3666646 53.2862887, -6.3664748 53.2859202, -6.3665221 53.2859073, -6.3665727 53.2858935, -6.366544 53.2858364, -6.3665409 53.2858209, -6.366489 53.2857387, -6.3665249 53.2856938, -6.3663489 53.2856237, -6.3663661 53.2856072, -6.3663934 53.2855887, -6.3664412 53.2855718, -6.3664913 53.2855612, -6.3665819 53.285547, -6.3666408 53.2855397, -6.3677662 53.28544, -6.367773 53.2854613, -6.3677822 53.2854941, -6.3678939 53.2854829, -6.3679252 53.2854802, -6.3679403 53.2854812, -6.3679504 53.285485, -6.3679571 53.2854899, -6.367963 53.285503, -6.3680282 53.2854978, -6.3680621 53.2856134, -6.3680679 53.2856231, -6.3680824 53.2856367, -6.3681125 53.2856587, -6.3681185 53.2856655, -6.368131 53.2857244, -6.3680635 53.2857336, -6.3680633 53.2857386, -6.3679879 53.2857431, -6.3679348 53.2857465, -6.3679253 53.2857174, -6.3679061 53.2856507, -6.3678865 53.2855788, -6.3678806 53.2855556, -6.3678706 53.2855373, -6.3678547 53.2855295, -6.3678422 53.2855259, -6.3678192 53.2855213, -6.3677908 53.28552, -6.3677683 53.2855202, -6.3665325 53.2856545, -6.3666976 53.2861571, -6.3668039 53.2861433, -6.3679279 53.2860254, -6.367962 53.2860181, -6.3679853 53.2860077, -6.3679971 53.2859948, -6.3679979 53.2859779, -6.3679812 53.285891, -6.3679691 53.28585))",parking,Plaza Hotel
"POLYGON ((-6.3681782 53.2864402, -6.3682229 53.2865723, -6.3676394 53.2866479, -6.3676258 53.2866126, -6.3675767 53.2865914, -6.3674458 53.2866071, -6.3674294 53.2866229, -6.3674128 53.286639, -6.367427 53.2866756, -6.3674517 53.2867393, -6.3675663 53.2870525, -6.3679247 53.2870057, -6.3679014 53.2869419, -6.3678988 53.2869315, -6.3680799 53.2869076, -6.3680724 53.2868823, -6.3680634 53.2868594, -6.3680913 53.2868556, -6.3681065 53.2868535, -6.3681265 53.2868506, -6.368169 53.2868447, -6.3682599 53.2870975, -6.367905 53.287145, -6.3678995 53.2871275, -6.3678751 53.2870612, -6.3674011 53.2871235, -6.3672033 53.2865742, -6.3672963 53.2865628, -6.3672819 53.2865278, -6.3673447 53.2865197, -6.36736 53.2865571, -6.3673906 53.2865536, -6.3673881 53.2865435, -6.3674111 53.2865398, -6.3674306 53.2865293, -6.3674398 53.2865128, -6.3674353 53.286491, -6.3674654 53.2864867, -6.3674922 53.2864835, -6.3674995 53.2865036, -6.3675301 53.2865196, -6.367541 53.2865181, -6.367529 53.2864795, -6.3681129 53.2864108, -6.3681782 53.2864402))",parking,
"POLYGON ((-6.2751225 53.3329947, -6.2751188 53.3330145, -6.2750234 53.3330057, -6.2749301 53.3329967, -6.2748219 53.3329698, -6.2748888 53.3329267, -6.2749372 53.3328871, -6.274958 53.3328533, -6.2749454 53.3326121, -6.2750161 53.3326121, -6.2750693 53.3326121, -6.2751225 53.3329947))",parking,
"POLYGON ((-6.2957258 53.3442722, -6.295502 53.3441404, -6.2936304 53.3453571, -6.2937345 53.345407, -6.2937395 53.3454341, -6.293746 53.345469, -6.2938054 53.3455026, -6.2947394 53.3449049, -6.2949812 53.344739, -6.2952455 53.3445758, -6.2957258 53.3442722))",parking,
"POLYGON ((-6.4186526 53.2999171, -6.4179721 53.299848, -6.4179291 53.3000377, -6.4185802 53.3001009, -6.4186108 53.3000233, -6.4186526 53.2999171))",parking,
"POLYGON ((-6.5410123 53.3453705, -6.5412456 53.3453118, -6.5410526 53.3449939, -6.5409242 53.3450241, -6.5408064 53.3450518, -6.5410123 53.3453705))",parking,
"POLYGON ((-6.5410123 53.3453705, -6.5411474 53.3453826, -6.5411974 53.3453936, -6.5412366 53.345481, -6.5410299 53.3454905, -6.5410702 53.3457467, -6.5402709 53.3458476, -6.5400842 53.3455873, -6.5402246 53.3455783, -6.5402912 53.345574, -6.5402856 53.3455513, -6.5402614 53.3455204, -6.5410123 53.3453705))",parking,
"POLYGON ((-6.5554858 53.3439041, -6.5554332 53.3439326, -6.5553027 53.3438469, -6.5553553 53.3438184, -6.5554858 53.3439041))",parking,
"POLYGON ((-6.5555273 53.3438041, -6.5555985 53.3437641, -6.5554729 53.3436845, -6.5554017 53.3437245, -6.5555273 53.3438041))",parking,
"POLYGON ((-6.555735 53.3438186, -6.5556871 53.3437866, -6.5557139 53.3437723, -6.5557619 53.3438043, -6.555735 53.3438186))",parking,
"POLYGON ((-6.4093879 53.29091, -6.4093386 53.2909271, -6.4092682 53.290945, -6.4092445 53.2909331, -6.4091941 53.2909296, -6.4085712 53.2910636, -6.4085328 53.2910621, -6.4085074 53.291044, -6.4084705 53.2909812, -6.4081364 53.2910527, -6.4081127 53.291022, -6.4080652 53.291018, -6.4080079 53.291035, -6.4079515 53.2910249, -6.4078922 53.2909522, -6.4076135 53.2910143, -6.4075818 53.29097, -6.4074632 53.2909918, -6.4074508 53.2909723, -6.4074325 53.2909434, -6.4074998 53.2909262, -6.4074832 53.290891, -6.4090825 53.2905404, -6.4091328 53.2905314, -6.4091942 53.2905203, -6.4093533 53.2907838, -6.4093761 53.2908801, -6.4093879 53.29091))",parking,
"POLYGON ((-6.3950733 53.3255722, -6.3949987 53.3259604, -6.394562 53.3259385, -6.39444 53.325944, -6.394355 53.3259478, -6.3941341 53.3259646, -6.3942005 53.3255869, -6.3946056 53.3256106, -6.3946269 53.3255325, -6.3949601 53.3255617, -6.3950733 53.3255722))",fuel,Crosslands Service Station (Top)
"POLYGON ((-6.4180764 53.2813067, -6.414219 53.281449, -6.414207 53.2813418, -6.4145667 53.2811499, -6.4151701 53.2809825, -6.4162971 53.2809475, -6.4163094 53.2810767, -6.4180584 53.2810183, -6.4180764 53.2813067))",parking,
"POLYGON ((-6.4608938 53.3391655, -6.4611577 53.3390187, -6.4612667 53.3391273, -6.4613076 53.3392579, -6.4613143 53.3393458, -6.4616938 53.3394151, -6.4619232 53.3395228, -6.462351 53.3393358, -6.4628331 53.3391014, -6.4626879 53.339029, -6.4619287 53.3393708, -6.4615491 53.3392534, -6.4613411 53.3387901, -6.4612024 53.3387545, -6.4606788 53.3390248, -6.4608938 53.3391655))",parking,
"POLYGON ((-6.6127933 53.3419007, -6.6119722 53.3417424, -6.6119963 53.3415297, -6.6130401 53.3414703, -6.6129373 53.3416238, -6.6127933 53.3419007))",parking,
"POLYGON ((-6.4511172 53.3491221, -6.4513723 53.3487414, -6.4513168 53.3487303, -6.4511296 53.3486764, -6.4508932 53.3490534, -6.4511172 53.3491221))",parking,
"POLYGON ((-6.4523253 53.3493967, -6.4522438 53.3493455, -6.4522165 53.3493368, -6.4521758 53.349324, -6.4521502 53.3493156, -6.4517582 53.3491864, -6.4513481 53.3490775, -6.4520807 53.3481402, -6.4531706 53.3484647, -6.4523253 53.3493967))",parking,
"POLYGON ((-6.5454854 53.3508569, -6.5455696 53.3509147, -6.545619 53.3509556, -6.5456361 53.3509533, -6.5461624 53.3507562, -6.5463317 53.3508809, -6.5465733 53.3507766, -6.5464991 53.3507209, -6.5464226 53.3506636, -6.5462576 53.350726, -6.5461875 53.3506903, -6.546125 53.3507037, -6.5459608 53.3507249, -6.5458708 53.3507529, -6.5456331 53.3508562, -6.5455887 53.3508253, -6.5454854 53.3508569))",parking,
"POLYGON ((-6.5183868 53.1696295, -6.5183189 53.1696566, -6.5179696 53.1697325, -6.5178779 53.1695052, -6.517669 53.1695355, -6.5175654 53.1695505, -6.517647 53.1697787, -6.5172959 53.1698206, -6.5170555 53.1693503, -6.5174531 53.1692797, -6.517713 53.1692335, -6.5177706 53.16935, -6.5180895 53.1692933, -6.5180338 53.1691808, -6.5181487 53.1691604, -6.5183868 53.1696295))",parking,Blessington Boat Club
"POLYGON ((-6.3607129 53.2901055, -6.3608168 53.2904641, -6.3605268 53.2904805, -6.3600659 53.29051, -6.3593863 53.290584, -6.3593017 53.2902915, -6.3607129 53.2901055))",parking,
"POLYGON ((-6.3576173 53.310107, -6.3578469 53.3099567, -6.3573018 53.3096594, -6.3571783 53.3097402, -6.3570722 53.3098097, -6.3576173 53.310107))",parking,
"POLYGON ((-6.3569675 53.309689, -6.3570426 53.3096357, -6.3571342 53.3095705, -6.3565229 53.3092635, -6.3563563 53.3093819, -6.3569675 53.309689))",parking,
"POLYGON ((-6.5385868 53.3390252, -6.5381679 53.3388848, -6.5383247 53.3387181, -6.5387436 53.3388584, -6.5385868 53.3390252))",parking,
"POLYGON ((-6.5388649 53.34057, -6.5387915 53.3406565, -6.5388519 53.3406749, -6.538801 53.3407531, -6.538583 53.3406774, -6.5386604 53.34059, -6.5383081 53.340482, -6.538428 53.3403469, -6.5385728 53.3403901, -6.5385791 53.340384, -6.5386109 53.3403483, -6.5388511 53.3404249, -6.5389641 53.340463, -6.5389297 53.3405001, -6.5388649 53.34057))",parking,
"POLYGON ((-6.5383169 53.339048, -6.5383336 53.3390956, -6.5381096 53.3393683, -6.5381756 53.3393868, -6.5381228 53.3394486, -6.5380424 53.3394312, -6.538008 53.3394696, -6.5374192 53.3392905, -6.5378982 53.3389095, -6.538215 53.3390078, -6.5383169 53.339048))",parking,
"POLYGON ((-6.4193373 53.1463122, -6.4195593 53.1462868, -6.4197135 53.1465154, -6.4193766 53.146595, -6.4193634 53.1464998, -6.4193373 53.1463122))",parking,
"POLYGON ((-6.3835889 53.2806479, -6.3838088 53.280632, -6.3838435 53.2808043, -6.3838586 53.2808792, -6.3836911 53.2808913, -6.3836487 53.280681, -6.3835964 53.2806848, -6.3835889 53.2806479))",parking,
"POLYGON ((-6.4116382 53.3242769, -6.411615 53.3242918, -6.4115123 53.3243575, -6.4111435 53.3247336, -6.4112425 53.3248249, -6.4113684 53.324773, -6.4114506 53.3248776, -6.4119836 53.3247037, -6.4117822 53.3244775, -6.4117762 53.3243844, -6.4116382 53.3242769))",parking,
"POLYGON ((-6.3508411 53.3451287, -6.3500921 53.345413, -6.3500412 53.3453178, -6.3498412 53.3453368, -6.3495519 53.3453598, -6.3493023 53.3449663, -6.349156 53.3447265, -6.3489454 53.3443541, -6.3495255 53.3441369, -6.3497211 53.3443228, -6.3499249 53.3444739, -6.3499653 53.3444976, -6.3500096 53.3445236, -6.3504585 53.3448055, -6.3506498 53.3449415, -6.3507562 53.3450303, -6.3508411 53.3451287))",college,Ballyfermot College of Further Education
"POLYGON ((-6.353208 53.3411176, -6.3532985 53.3411193, -6.3532688 53.340948, -6.3531239 53.3406838, -6.3528628 53.3404463, -6.352556 53.3401709, -6.3519931 53.3396705, -6.3517634 53.3394664, -6.3515528 53.339237, -6.3514441 53.3390821, -6.3513266 53.338856, -6.3512693 53.3386718, -6.3509395 53.3386955, -6.3511952 53.3395252, -6.351377 53.3403069, -6.3514341 53.3405268, -6.3515779 53.3405138, -6.3519132 53.3404836, -6.3520035 53.3404755, -6.352207 53.3411858, -6.3524291 53.3411795, -6.3531284 53.3411233, -6.353208 53.3411176))",college,Ballyfermot College of Further Education
"POLYGON ((-6.3514341 53.3405268, -6.3515779 53.3405138, -6.3519132 53.3404836, -6.3520035 53.3404755, -6.352207 53.3411858, -6.3524291 53.3411795, -6.3525073 53.3415532, -6.3527296 53.3415405, -6.3527565 53.3417263, -6.3525768 53.341832, -6.3525768 53.3420161, -6.3523219 53.3420017, -6.3521986 53.3420546, -6.3520937 53.3420458, -6.3520725 53.3418272, -6.3517506 53.3416558, -6.3514341 53.3405268))",parking,
"POLYGON ((-6.5292876 53.3494202, -6.5295437 53.3496185, -6.5295803 53.3496465, -6.5296067 53.3496541, -6.5299789 53.3494491, -6.5302574 53.3492954, -6.5301532 53.3492267, -6.5300981 53.3492508, -6.530038 53.3492688, -6.5299575 53.349276, -6.5298926 53.3492789, -6.5296358 53.349413, -6.529425 53.3492715, -6.5293563 53.3493065, -6.5292719 53.3493738, -6.5292876 53.3494202))",parking,
"POLYGON ((-6.2636851 53.3391857, -6.2641986 53.3392921, -6.2642146 53.3393104, -6.2641691 53.3393867, -6.2640677 53.3393656, -6.2640781 53.3393478, -6.2640012 53.3393318, -6.2638174 53.3396465, -6.2638896 53.3396615, -6.2638557 53.3397195, -6.2638935 53.3397274, -6.2638706 53.3397624, -6.2638113 53.3398561, -6.2633456 53.3397577, -6.2634051 53.3396474, -6.2636851 53.3391857))",parking,College of Surgeons Multi-Storey
