hotspot_geometry,hotspot_tag,hotspot_location
POINT (-6.3021831 53.3411774),parking,
POINT (-6.2652688 53.3206193),parking,
POINT (-6.2748329 53.2917372),parking,
POINT (-6.5272334 53.1730919),parking,
POINT (-6.5709856 53.1979898),parking,
POINT (-6.3265842 53.2707989),parking,
POINT (-6.3887911 53.3204422),parking,
POINT (-6.3898901 53.3210738),parking,
POINT (-6.3459875 53.3427357),college,Kylemore Community Training Centre
POINT (-6.5225181 53.1289213),parking,
POINT (-6.3657801 53.3040217),parking,
POINT (-6.2889004 53.2792487),parking,
POINT (-6.3364242 53.3519603),parking,
POINT (-6.3767513 53.2872061),college,National Ambulance Service College
POINT (-6.2587762 53.3486857),college,Oxford College International
POINT (-6.315903 53.3373716),parking,
POINT (-6.315596 53.3398677),parking,
POINT (-6.2675711 53.3442107),college,City Colleges
POINT (-6.2647457 53.3436171),college,City Colleges
POINT (-6.4752337 53.2957468),parking,
POINT (-6.4769049 53.2963485),fuel,Texoil
POINT (-6.2861633 53.2891095),parking,
POINT (-6.2626109 53.3397019),parking,
POINT (-6.3511216 53.3257319),parking,
POINT (-6.3767848 53.2889386),parking,
POINT (-6.3705307 53.2934001),parking,
POINT (-6.3705844 53.2933985),parking,
POINT (-6.3709599 53.29336),parking,
POINT (-6.3710323 53.293352),parking,
POINT (-6.3711932 53.2935717),parking,
POINT (-6.3712817 53.2935637),parking,
POINT (-6.3713729 53.2935476),parking,
POINT (-6.371448 53.2935396),parking,
POINT (-6.3715097 53.2935364),parking,
POINT (-6.3715929 53.2935252),parking,
POINT (-6.3036968 53.298494),parking,
POINT (-6.2966064 53.2973927),parking,
POINT (-6.2966278 53.2973566),parking,
POINT (-6.2967499 53.2971354),parking,
POINT (-6.2967673 53.2970921),parking,
POINT (-6.2970932 53.2967034),parking,
POINT (-6.2971133 53.2966625),parking,
POINT (-6.2973171 53.2963692),parking,
POINT (-6.268132 53.2774806),parking,
POINT (-6.2681776 53.2774669),parking,
POINT (-6.2682219 53.2774485),parking,
POINT (-6.2682661 53.2774389),parking,
POINT (-6.2683184 53.2774188),parking,
POINT (-6.2747643 53.2899822),parking,
POINT (-6.2740383 53.29155),parking,
POINT (-6.2718482 53.2923588),parking,
POINT (-6.2678397 53.2994983),parking,
POINT (-6.2635342 53.3006102),parking,
POINT (-6.2663095 53.2772704),parking,
POINT (-6.2640351 53.3335139),parking,
POINT (-6.2873038 53.2926992),parking,
POINT (-6.3359948 53.2894249),fuel,
POINT (-6.3030277 53.2842975),parking,
POINT (-6.3764041 53.2531135),parking,
POINT (-6.3766038 53.2508912),parking,
POINT (-6.2963026 53.2951081),parking,
POINT (-6.287025 53.2995328),parking,
POINT (-6.2810999 53.2827348),parking,
POINT (-6.2886185 53.2801327),parking,
POINT (-6.5394826 53.3386053),parking,
POINT (-6.5399271 53.3389078),parking,
POINT (-6.5386281 53.3397244),parking,
POINT (-6.5387716 53.3394369),parking,
POINT (-6.5389547 53.3394537),parking,
POINT (-6.5381037 53.340349),parking,
POINT (-6.5402274 53.3379852),parking,
POINT (-6.539532 53.3324743),parking,
POINT (-6.5442158 53.3438279),parking,
POINT (-6.5442735 53.3438231),parking,
POINT (-6.5443151 53.3438223),parking,
POINT (-6.544362 53.3438199),parking,
POINT (-6.5444237 53.3438199),parking,
POINT (-6.5444787 53.3438167),parking,
POINT (-6.5441997 53.3437519),parking,
POINT (-6.5442614 53.3437511),parking,
POINT (-6.5443097 53.3437503),parking,
POINT (-6.5443607 53.3437487),parking,
POINT (-6.5444143 53.3437463),parking,
POINT (-6.5444841 53.3437455),parking,
POINT (-6.5258212 53.3403834),parking,
POINT (-6.3153148 53.2729558),parking,
POINT (-6.2844105 53.3215027),parking,
POINT (-6.2795376 53.3490151),parking,
POINT (-6.266337 53.339095),parking,
POINT (-6.3258461 53.2848537),parking,
POINT (-6.533968 53.3385908),fuel,Applegreen
"POLYGON ((-6.2686329 53.2915461, -6.2658338 53.2914891, -6.2658505 53.2909117, -6.265867 53.2903145, -6.2661226 53.2903216, -6.2665471 53.2903301, -6.2678644 53.2903565, -6.2684773 53.2903688, -6.2684763 53.2903862, -6.2685403 53.2903875, -6.2685448 53.2903063, -6.268494 53.2903053, -6.2685271 53.2897097, -6.2683282 53.2897057, -6.2683311 53.2896529, -6.2685322 53.2896569, -6.2685624 53.2891144, -6.2686316 53.2891124, -6.2687338 53.2892349, -6.2687754 53.2894084, -6.268789 53.2895084, -6.2686945 53.2905647, -6.2686739 53.2910176, -6.2686329 53.2915461))",parking,
"POLYGON ((-6.3444833 53.2993167, -6.3436138 53.2994473, -6.3434835 53.2992099, -6.3432842 53.2991371, -6.3433434 53.2990775, -6.3433673 53.2990592, -6.3433858 53.2990419, -6.3434526 53.2990304, -6.3434312 53.298989, -6.3442553 53.2988728, -6.3443324 53.2989478, -6.3444833 53.2993167))",parking,
"POLYGON ((-6.3215091 53.2944287, -6.3207045 53.2939999, -6.321083 53.2936091, -6.3224748 53.2932857, -6.3237021 53.2929969, -6.3238307 53.2931943, -6.3233406 53.2933119, -6.3235457 53.2936202, -6.3232425 53.2936895, -6.3230762 53.2934121, -6.3225415 53.2935323, -6.3224764 53.2934528, -6.3223947 53.2934168, -6.3223475 53.2934007, -6.3222509 53.293399, -6.3221986 53.2934274, -6.3221306 53.293629, -6.3217078 53.2941189, -6.3215091 53.2944287))",parking,Spawell Golf and Leisure Centre
"POLYGON ((-6.3262504 53.2962646, -6.3261512 53.296308, -6.3256333 53.2965226, -6.3255016 53.2965771, -6.3260645 53.2971031, -6.3261495 53.2970545, -6.3261992 53.2970842, -6.3267179 53.296713, -6.3262504 53.2962646))",parking,
"POLYGON ((-6.2662622 53.3212625, -6.2662006 53.321275, -6.2659195 53.3213394, -6.2659081 53.3213185, -6.2658958 53.3212945, -6.2659802 53.3212765, -6.2662822 53.3212053, -6.2662732 53.3211917, -6.2663159 53.3211817, -6.2662884 53.3211401, -6.2662554 53.3211478, -6.2662444 53.3211504, -6.2662328 53.3211328, -6.2662721 53.321124, -6.266248 53.3210805, -6.2662038 53.3210892, -6.2661937 53.3210736, -6.2663936 53.3210368, -6.2664073 53.321057, -6.2666517 53.3209982, -6.2668572 53.3212777, -6.2667939 53.3212938, -6.2667291 53.3213088, -6.2667647 53.3213636, -6.2663994 53.3214484, -6.266321 53.3213483, -6.2662947 53.3213081, -6.2662622 53.3212625))",parking,Tesco Car Park
"POLYGON ((-6.2745398 53.2695635, -6.2732711 53.269711, -6.2732547 53.2696047, -6.273228 53.2695867, -6.2733958 53.2693547, -6.2735258 53.2691919, -6.2735787 53.2691829, -6.2735931 53.269144, -6.273609 53.2690091, -6.2734362 53.2688866, -6.2733609 53.2688913, -6.2733363 53.2688146, -6.2734166 53.268809, -6.2733507 53.2686252, -6.274158 53.2685153, -6.2742781 53.2688388, -6.2745398 53.2695635))",parking,
"POLYGON ((-6.2973962 53.3466403, -6.2974838 53.3466354, -6.2974726 53.3465367, -6.2974701 53.3465084, -6.2975578 53.3464999, -6.2978727 53.3465002, -6.2985884 53.346498, -6.2989938 53.3464695, -6.2993421 53.3464807, -6.2999339 53.346496, -6.2999485 53.3465187, -6.3005136 53.3464904, -6.3005793 53.3467084, -6.3003374 53.3468114, -6.3001566 53.3468789, -6.3001986 53.3469509, -6.2998133 53.3470095, -6.2994893 53.3470648, -6.2990804 53.347061, -6.2988978 53.3470877, -6.2979808 53.3470397, -6.297663 53.3469583, -6.2973788 53.3468615, -6.2973962 53.3466403))",parking,Heuston Station
"POLYGON ((-6.262374 53.3436375, -6.2624285 53.3436123, -6.2625063 53.3436163, -6.2625048 53.343599, -6.262647 53.3435934, -6.26265 53.3436361, -6.2628373 53.3436338, -6.2628391 53.3436504, -6.2628622 53.3438633, -6.2623913 53.3438801, -6.2623799 53.343797, -6.2623456 53.3437868, -6.262374 53.3436375))",parking,Trinity Street Carpark
