public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.3208171 53.3393398),pharmacy,Keatinges,Tyrconnell Road,,
POINT (-6.359608 53.3441445),place_of_worship,Ballyfermot Community Church,,,
POINT (-6.2971496 53.3447899),pharmacy,HSQ Pharmacy,,,
POINT (-6.2794056 53.3495797),clinic,Family Health Clinic,Thundercut Alley,,Dublin
POINT (-6.2783085 53.3496164),clinic,Charter Medical Group,,,
POINT (-6.2725248 53.3414923),pharmacy,Patrick St. Pharmacy,Patrick Street,,Dublin
POINT (-6.3537413 53.3424794),bank,Permanent TSB,,Permanent TSB,
POINT (-6.5388134 53.3420281),kindergarten,Kiddies Choice,Maynooth Road,,Celbridge
POINT (-6.2749911 53.3321404),post_office,Leonard's Corner Post Office,Clanbrassil Street Upper,An Post,Dublin
POINT (-6.2797539 53.3397292),doctors,Dr O'Neill,The Coombe,,
POINT (-6.2782341 53.3403334),pharmacy,Foley's Pharmacy,Meath Street,,
POINT (-6.2718452 53.3391269),school,Saint Patrick's Cathedral Grammar School,,,
POINT (-6.3663638 53.2759723),pharmacy,,,,
POINT (-6.3668407 53.2760192),pharmacy,,,,
POINT (-6.2816883 53.3468704),pharmacy,Blackhall Pharmacy,Ellis Quay,,Dublin
POINT (-6.3308253 53.2757081),pharmacy,Mark Ellis Pharmacy,Woodstown Shopping Centre,,
POINT (-6.3531086 53.2757533),pharmacy,Pharmacy O'Reagan,Old Bawn Shopping Centre,,
POINT (-6.4227681 53.2830354),pharmacy,McCabes,,,
POINT (-6.2974798 53.2963542),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.2997461 53.3116488),pharmacy,Bradleys,Fortfield Road,,
POINT (-6.2971257 53.2969634),bank,EBS,Fairways,EBS,
POINT (-6.2652003 53.2771885),pharmacy,Marley Park Pharmacy,Grange Road,,
POINT (-6.2946921 53.2819162),pharmacy,Haven Pharmacy Brennan's,,,
POINT (-6.2973618 53.2965658),pharmacy,Tony Walsh's Pharmacy,,,
POINT (-6.2650375 53.3327772),pharmacy,Brady's Pharmacy,Camden Street Upper,,
POINT (-6.2868156 53.3372391),post_office,Cork Street Post Office,Cork Street,An Post,Dublin
POINT (-6.2870147 53.3371004),pharmacy,Moore's Pharmacy,Cork Street,,
POINT (-6.4930774 53.3005458),childcare,Rocking Horse Creche,Aylmer Drive,,Newcastle
POINT (-6.2943422 53.3350761),doctors,Rialto Medical Centre,South Circular Road,,
POINT (-6.2838648 53.3096282),bank,Bank of Ireland,,Bank of Ireland,
POINT (-6.2776247 53.3116607),childcare,Glenone Montessori & Nursery,Terenure Road East,,Dublin
POINT (-6.278947 53.342243),social_facility,Citizen's Information Centre,,,
POINT (-6.2778539 53.339652),social_facility,Connolly Information Centre for the Unemployed,The Coombe,,Dublin
POINT (-6.2778759 53.3400886),social_facility,South West inner city network youth information centre,,,
POINT (-6.3049862 53.3020909),pharmacy,Fortfield Pharmacy,,,
POINT (-6.3180259 53.31625),pharmacy,Lloyds Pharmacy,Cromwellsfort Road,Lloyds Pharmacy,
POINT (-6.3973697 53.3447273),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.401126 53.338207),pharmacy,Lloyds Pharmacy,Neilstown Road,Lloyds Pharmacy,
POINT (-6.4011582 53.3377777),post_office,Neilstown Post Office,Neilstown Village Court,An Post,Neilstown
POINT (-6.3173011 53.3396891),clinic,Inchicore Medical Centre,Emmet Road,,
POINT (-6.5331335 53.1706571),bank,Ulster Bank,,Ulster Bank,
POINT (-6.55562 53.3437398),kindergarten,Happy Days,,,
POINT (-6.55478 53.346856),kindergarten,The Purple Penguin,,,
POINT (-6.2993058 53.3372452),pharmacy,Walsh's Pharmacy,South Circular Road,,Dublin
POINT (-6.4471841 53.2783871),kindergarten,Kidorama Creche & Montessori,Slade Castle Wood,,Saggart
POINT (-6.2974808 53.3436471),kindergarten,,,,
POINT (-6.2826149 53.3100029),bank,Ulster Bank,Terenure Road East,Ulster Bank,Dublin
POINT (-6.464968 53.2816202),post_office,Rathcoole Post Office,Main Street,An Post,Rathcoole
POINT (-6.3940712 53.3139304),bank,Bank of Ireland,Newland's Cross,Bank of Ireland,
POINT (-6.266829 53.2902148),post_office,Nutgrove Post Office,Nutgrove Way,An Post,
POINT (-6.3947972 53.3208263),pharmacy,Caddens,,,
POINT (-6.3835522 53.2808198),post_office,Kilinarden Post Office,Killinarden Way,An Post,Tallaght
POINT (-6.3797103 53.2769886),pharmacy,Kilinarden Pharmacy,Killinarden Way,,
POINT (-6.5321052 53.3363472),kindergarten,Gymbore,,,
POINT (-6.2799337 53.3391038),place_of_worship,UCKG Help Centre,Ardee Street,,Dublin
POINT (-6.2673405 53.3446763),doctors,Parliament Street Medical Practice,Parliament Street,,
POINT (-6.2728505 53.3432178),bank,Health Services Staff Credit Union,High Street,,
POINT (-6.276463 53.3453096),post_office,Usher's Quay Post Office,Usher's Quay,An Post,Dublin
POINT (-6.278429 53.3411696),veterinary,Metrovets,Meath Street,,Dublin
POINT (-6.2695967 53.344172),library,Contemporary Music Center,Fishamble Street,,Dublin
POINT (-6.2938652 53.3425862),pharmacy,Haven Pharmacy,James Street,,Dublin
POINT (-6.3937256 53.3186158),place_of_worship,Church of the Immaculate Conception,,,
POINT (-6.6172364 53.2287759),veterinary,Irish Equine Centre,,,
POINT (-6.5301702 53.3363138),kindergarten,Brilliant Beginnings,Willow Court,,Celbridge
POINT (-6.2647907 53.326299),doctors,Rathmines General Medical Clinic,,,
POINT (-6.2647809 53.326138),pharmacy,Rathmines Pharmacy,Rathmines Road Lower,,
POINT (-6.3171713 53.3166847),pharmacy,We Care Pharmacy,,,
POINT (-6.4235096 53.2825731),post_office,City West Post Office,Fortunestown Lane,An Post,
POINT (-6.2682366 53.2991248),pharmacy,Bradley's Pharmacy,,,
POINT (-6.2941715 53.3077194),kindergarten,Panda Play Cafe,Greenlea Grove,,
POINT (-6.5326352 53.1712026),bank,Blessington & District Credit Union,The Square,,
POINT (-6.3539948 53.3424982),pharmacy,Your Local Pharmacy,,,
POINT (-6.3446908 53.3391773),pharmacy,Crowley's Pharmacy,,,
POINT (-6.3567111 53.3418406),pharmacy,,,,
POINT (-6.3562235 53.3433613),post_office,Ballyfermot Post Office,Le Fanu Road,An Post,Dublin
POINT (-6.2738765 53.3347892),pharmacy,Phelan's Pharmacy,Clanbrassil Street Lower,,
POINT (-6.3332122 53.3174918),bank,Permanent TSB,Walkinstown Road,Permanent TSB,Dublin
POINT (-6.2596209 53.3433856),doctors,Suffolk Street Surgery,Grafton Street,,
POINT (-6.3743596 53.3366808),social_facility,St. Ultan's care services,,,
POINT (-6.3745864 53.3392612),social_facility,The Bungalow,,,
POINT (-6.3768047 53.3391008),social_facility,The Life Centre,,,
POINT (-6.3214561 53.325809),pharmacy,Haven Pharmacy,Errigal Road,,
POINT (-6.6087761 53.3110466),post_office,Straffan Post Office,Station Road,An Post,
POINT (-6.2654594 53.3347501),school,The Internation,Camden Street Upper,,
POINT (-6.2734642 53.3464705),courthouse,Four Courts Law Library,Inns Quay,,
POINT (-6.2704044 53.3167896),doctors,The Rathgar Medical Practice,Rathgar Road,,
POINT (-6.2703441 53.3168675),kindergarten,Cranford Crèche & Montessori,Rathgar Road,,Dublin
POINT (-6.2653647 53.3228142),bank,EBS,Rathmines Road Lower,EBS,
POINT (-6.2655958 53.3219696),bank,Permanent TSB,Rathmines Road Lower,Permanent TSB,
POINT (-6.2656119 53.3219063),pharmacy,Boots,Rathmines Road Lower,Boots,
POINT (-6.5305304 53.1720571),post_office,Blessington Post Office,Main Street,An Post,Blessington
POINT (-6.5309086 53.1723352),kindergarten,,Main Street,,
POINT (-6.5335978 53.1718745),library,Blessington Library,,,
POINT (-6.5316908 53.171217),pharmacy,McGreals Pharmacy,Main Street,,
POINT (-6.2732929 53.3212941),doctors,Sivan Naidoo,Effra Road,,Dublin
POINT (-6.2654152 53.322891),pharmacy,Life Pharmacy,Rathmines Road Lower,,Dublin
POINT (-6.2676273 53.3206853),doctors,D6 Health,Rathgar Road,,Dublin
POINT (-6.2825189 53.3508463),kindergarten,Rainbow Community Playgroup,Stoneybatter,,Dublin
POINT (-6.2728192 53.3372965),post_office,Kevin Street Upper Post Office,New Street South,An Post,
POINT (-6.2749407 53.3484056),pharmacy,,Church Street,,
POINT (-6.269095 53.3361087),clinic,Liberties Primary Care Team,Heytesbury Street,,Dublin
POINT (-6.2694356 53.3359405),pharmacy,Lloyds Pharmacy,Heytesbury Street,Lloyds Pharmacy,Dublin
POINT (-6.2653499 53.3234562),pharmacy,Bourke's Allcare Pharmacy,Rathmines Road Lower,,Dublin
POINT (-6.275583 53.3196867),veterinary,Vetinary Clinic,Kenilworth Square North,,Dublin
POINT (-6.2795668 53.3213474),bank,Harolds Cross Credit Union,Harold's Cross Road,,Dublin
POINT (-6.2896427 53.3197542),pharmacy,Thom's,Kimmage Road Lower,,Dublin
POINT (-6.2911791 53.319261),social_facility,Mount Argus Community Social Services Centre,Kimmage Road Lower,,Dublin
POINT (-6.2921284 53.3193127),pharmacy,Aileen Good,,,Dublin
POINT (-6.2921569 53.3201322),kindergarten,Sundrive Nursery & Montessori,Sundrive Road,,Dublin
POINT (-6.2924169 53.3208137),pharmacy,Jordan's Pharmacy,Sundrive Road,,
POINT (-6.2927403 53.3205523),doctors,Sundrive Medical Centre,Sundrive Road,,Dublin
POINT (-6.2954624 53.3232731),bank,Capital Credit Union,Sundrive Road,,Dublin
POINT (-6.3047492 53.3273532),pharmacy,Old County Pharmacy,Old County Road,,Dublin
POINT (-6.3056092 53.3274122),post_office,Old County Road Post Office,,An Post,
POINT (-6.309129 53.3274473),pharmacy,Crumlin Road Pharmacy,Crumlin Road,,Dublin
POINT (-6.3141652 53.3263416),doctors,Dr. Diarmuid P O'Connell,Crumlin Road,,Dublin
POINT (-6.3198879 53.3340278),bank,Drimnagh Credit Union Limited,Galtymore Road,,Dublin
POINT (-6.3194536 53.3344006),pharmacy,Galtymore Allcare Pharmacy,Galtymore Road,,
POINT (-6.264735 53.3327306),doctors,Harcourt Health,Camden Street Upper,,
POINT (-6.2651473 53.3327737),doctors,Brady,Harrington Street,,
POINT (-6.2650632 53.3344555),pharmacy,Cahill's Allcare Pharmacy,Camden Street Lower,,Dublin
