public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
"POLYGON ((-6.339541 53.2804965, -6.3396693 53.280556, -6.3395529 53.2807227, -6.3395169 53.2808393, -6.3395022 53.2809895, -6.3395022 53.281031, -6.3395062 53.2811045, -6.3395302 53.2812658, -6.3395743 53.2813721, -6.3395959 53.2814536, -6.3393819 53.2814959, -6.3388195 53.2813218, -6.3376085 53.2809567, -6.3374897 53.2809026, -6.3374441 53.2806664, -6.3374592 53.2805172, -6.3374989 53.2803896, -6.3375952 53.2803342, -6.3377823 53.2802924, -6.337918 53.2802762, -6.3380511 53.2802512, -6.3380904 53.2801483, -6.338205 53.2798513, -6.3382405 53.2797489, -6.3382754 53.2796757, -6.3383264 53.2796327, -6.3384228 53.2796079, -6.3385116 53.2796259, -6.3389971 53.2797796, -6.3394865 53.2799276, -6.3393599 53.2800789, -6.3392654 53.2801851, -6.3391492 53.2801494, -6.3389934 53.2803268, -6.3392205 53.2803858, -6.3391979 53.2804188, -6.3395156 53.2805217, -6.339541 53.2804965))",school,Scoil Treasa,,,
"POLYGON ((-6.4009397 53.3193698, -6.4004559 53.3196033, -6.4001736 53.3197317, -6.4000683 53.3199732, -6.3998493 53.3201644, -6.3993186 53.3204211, -6.3987668 53.3206098, -6.3985433 53.320701, -6.3975054 53.3206164, -6.3959572 53.3207601, -6.3958796 53.3206578, -6.3956764 53.3202431, -6.3951571 53.3201069, -6.3951299 53.3199605, -6.3947422 53.319995, -6.3947371 53.3199056, -6.3951159 53.3198851, -6.3951268 53.3196552, -6.3957336 53.3192633, -6.3959773 53.3181666, -6.3982439 53.3177703, -6.3985955 53.3182086, -6.3987622 53.3183804, -6.4003969 53.3188461, -6.4009397 53.3193698))",school,Moyle Park College,,,
"POLYGON ((-6.5553382 53.358487, -6.5541132 53.3592949, -6.5538689 53.3594551, -6.5537586 53.3594925, -6.5532435 53.3593155, -6.5528746 53.3591398, -6.5526854 53.3591706, -6.5523973 53.3593999, -6.5519234 53.3591361, -6.5513305 53.3588259, -6.5513183 53.3587759, -6.5511888 53.3587004, -6.5510344 53.3586172, -6.5501661 53.3581492, -6.5500853 53.3581165, -6.5499384 53.3580707, -6.5499021 53.3580594, -6.5500327 53.3579525, -6.5502314 53.3577463, -6.5504247 53.3573784, -6.550447 53.357336, -6.5505569 53.3571465, -6.5510638 53.3565742, -6.5512348 53.3564977, -6.5513508 53.3563373, -6.5513846 53.3560287, -6.5516743 53.3562094, -6.553046 53.3570208, -6.553997 53.357552, -6.5553382 53.358367, -6.5553382 53.358487))",school,Salesian College,,,
"POLYGON ((-6.5530374 53.1616113, -6.5528787 53.161721, -6.5523919 53.1621063, -6.5521947 53.1619448, -6.5515146 53.1615705, -6.5525167 53.1609007, -6.5526143 53.1609673, -6.5533217 53.1614503, -6.5530374 53.1616113))",school,Gaelscoil na Lochanna,,,
"POLYGON ((-6.3153505 53.2941277, -6.3154042 53.294186, -6.3146021 53.2946764, -6.3147861 53.2948296, -6.314485 53.2948938, -6.3144006 53.294922, -6.3141916 53.2950693, -6.3135678 53.2952448, -6.3129664 53.2954377, -6.3128632 53.295302, -6.3126868 53.2952871, -6.3123901 53.2952359, -6.3123699 53.2951791, -6.3122075 53.294985, -6.3120509 53.2943196, -6.3119233 53.2941012, -6.3117262 53.2939036, -6.3116799 53.2937555, -6.311645 53.2936437, -6.3118772 53.2933109, -6.3123989 53.2929712, -6.3131351 53.2927903, -6.3132237 53.2928608, -6.3133229 53.2929105, -6.3133846 53.2929458, -6.3134329 53.2929795, -6.3134919 53.2930276, -6.3135455 53.2930548, -6.3135911 53.2931029, -6.3136823 53.2931622, -6.3138888 53.2932905, -6.3139505 53.2933418, -6.3140203 53.2933739, -6.3141141 53.2934171, -6.3142429 53.2934877, -6.3143716 53.2935502, -6.3145057 53.2935967, -6.3145808 53.2936352, -6.314656 53.2936656, -6.3146078 53.2936942, -6.3143286 53.29386, -6.31486 53.294147, -6.3151414 53.2940149, -6.3153505 53.2941277))",social_facility,Cheeverstown House,,,
"POLYGON ((-6.3153326 53.3054273, -6.3149684 53.3055766, -6.3149622 53.3061804, -6.3147755 53.3062394, -6.3135807 53.3063577, -6.3122274 53.3064674, -6.3120383 53.3064408, -6.3117906 53.3063611, -6.3113945 53.3061454, -6.311299 53.3050002, -6.310324 53.3049819, -6.3104524 53.3045165, -6.3105433 53.3037358, -6.3105948 53.3034217, -6.3106515 53.3032926, -6.3115467 53.3035297, -6.3130596 53.3040142, -6.3134978 53.3041564, -6.3134782 53.3043923, -6.3133401 53.3046919, -6.3135885 53.3046839, -6.3140991 53.3047794, -6.3144638 53.3048785, -6.3148623 53.3050314, -6.3153326 53.3054273))",school,Templeogue College CSSp,,,
"POLYGON ((-6.3069582 53.3029467, -6.3062377 53.3029938, -6.3056503 53.3032156, -6.3052261 53.3035015, -6.3040145 53.302467, -6.304615 53.3023123, -6.3045329 53.3022069, -6.3046077 53.3021862, -6.3046704 53.3021659, -6.3049431 53.3024763, -6.3055035 53.3023046, -6.3055529 53.3022764, -6.3069582 53.3029467))",school,Saint Pius X National Schools,,,
"POLYGON ((-6.2886196 53.3097459, -6.2882794 53.3099494, -6.2880731 53.3101042, -6.2873559 53.3099723, -6.2875442 53.3096433, -6.2878042 53.3094453, -6.287876 53.3093908, -6.2878964 53.3094006, -6.2881696 53.309531, -6.288319 53.3096023, -6.2884481 53.309664, -6.2886196 53.3097459))",police,Terenure Garda Station,Terenure Road West,,Dublin
"POLYGON ((-6.3224405 53.3140847, -6.3219309 53.3143342, -6.321255 53.3147076, -6.3211725 53.3146503, -6.3209231 53.3147757, -6.3207494 53.3147533, -6.3207333 53.3147637, -6.3206518 53.3147198, -6.3205603 53.3146699, -6.320516 53.3146984, -6.3202848 53.3146213, -6.3209519 53.3140803, -6.3214998 53.3138137, -6.3214749 53.3137942, -6.3214993 53.3137835, -6.3215534 53.3137598, -6.3219275 53.3140334, -6.3221817 53.3139012, -6.3224405 53.3140847))",school,,,,
"POLYGON ((-6.3055676 53.2721973, -6.3051941 53.2721281, -6.3052015 53.2721126, -6.3051273 53.2720948, -6.3050603 53.2720788, -6.3050151 53.2721424, -6.3047308 53.272075, -6.3047442 53.2720606, -6.304661 53.2720433, -6.3046101 53.2721347, -6.3044035 53.2720799, -6.3045484 53.2718508, -6.3044223 53.2718203, -6.3043258 53.2719535, -6.3038403 53.271836, -6.3039663 53.2716869, -6.3040093 53.2716984, -6.3042292 53.2713455, -6.3044599 53.2713969, -6.3044384 53.2714209, -6.3048005 53.2715136, -6.3048139 53.2714992, -6.3050044 53.2715493, -6.3049963 53.2715621, -6.3052967 53.2716355, -6.3053101 53.271615, -6.3055167 53.2716631, -6.3055059 53.2716824, -6.3058492 53.2717498, -6.3058305 53.271785, -6.305919 53.2718027, -6.3058653 53.2719005, -6.3054286 53.2718104, -6.3053155 53.272016, -6.3056347 53.272069, -6.3055676 53.2721973), (-6.3052172 53.2717714, -6.3048474 53.2716786, -6.3047348 53.2718519, -6.3051059 53.2719455, -6.3052172 53.2717714), (-6.3042909 53.2716426, -6.3043673 53.2716614, -6.304374 53.2716506, -6.3044961 53.2716779, -6.304486 53.2716907, -6.3045698 53.2717123, -6.3046289 53.2716169, -6.3043553 53.2715463, -6.3042909 53.2716426), (-6.3044344 53.2717749, -6.3045091 53.2717955, -6.304547 53.271738, -6.3044686 53.2717188, -6.3044344 53.2717749), (-6.3042694 53.2716714, -6.3042319 53.2717236, -6.3043043 53.2717436, -6.3043405 53.2716887, -6.3042694 53.2716714))",social_facility,Bloomfield Health Services,Stocking Lane,,
"MULTIPOLYGON (((-6.5394831 53.3396042, -6.5392853 53.3395429, -6.5394602 53.3393417, -6.5396581 53.339403, -6.5394831 53.3396042)), ((-6.541064 53.3400208, -6.5409592 53.3399895, -6.5410793 53.3398461, -6.5409647 53.3398119, -6.5408964 53.339894, -6.5408857 53.3398908, -6.5407308 53.3398442, -6.5408782 53.3396798, -6.5410373 53.3397266, -6.5410194 53.3397461, -6.541239 53.3398117, -6.541064 53.3400208)), ((-6.5408857 53.3398908, -6.5408247 53.3399667, -6.5401424 53.3397673, -6.5401581 53.3397502, -6.5400382 53.3397153, -6.5401219 53.3397401, -6.5400703 53.3398021, -6.5396484 53.339677, -6.5396972 53.3396183, -6.5397611 53.3396373, -6.5398334 53.3395504, -6.5401077 53.3396317, -6.5402064 53.3396933, -6.5408857 53.3398908)), ((-6.5406586 53.3397926, -6.5402094 53.3396808, -6.5402083 53.3396227, -6.5400877 53.3395785, -6.5402289 53.3394235, -6.5408138 53.3395988, -6.5406586 53.3397926)))",school,Saint Brigid's National School,,,
"MULTIPOLYGON (((-6.5496056 53.3488473, -6.5493369 53.3488969, -6.5493726 53.3489659, -6.5493283 53.3489741, -6.5493574 53.3490304, -6.5489124 53.3491125, -6.5488819 53.3490536, -6.5491011 53.3490132, -6.5490941 53.3489997, -6.5491748 53.3489848, -6.5491174 53.3488738, -6.5492707 53.3488455, -6.549253 53.3488112, -6.5493049 53.3488017, -6.5492874 53.3487677, -6.5492611 53.3487725, -6.5492329 53.3487179, -6.5494407 53.3486796, -6.5494719 53.3487399, -6.5495687 53.3487221, -6.5495604 53.3487061, -6.5498118 53.3486597, -6.5498471 53.348728, -6.5496793 53.3487589, -6.5496988 53.3487967, -6.5498701 53.3487651, -6.5499072 53.3488368, -6.549627 53.3488885, -6.5496056 53.3488473)), ((-6.5497552 53.348558, -6.5500302 53.3485075, -6.5500711 53.3485871, -6.5497962 53.3486375, -6.5497552 53.348558)), ((-6.5499561 53.3488216, -6.5498742 53.3486637, -6.5500732 53.3486269, -6.5500944 53.3486677, -6.5500013 53.3486848, -6.550062 53.3488021, -6.5499561 53.3488216)), ((-6.5501744 53.3488133, -6.5502088 53.3488814, -6.5499423 53.3489294, -6.5499079 53.3488614, -6.5501744 53.3488133)), ((-6.5491901 53.3488263, -6.5489755 53.3488652, -6.5488632 53.3486445, -6.5490778 53.3486056, -6.5491901 53.3488263)), ((-6.5489711 53.3488681, -6.5487566 53.3489069, -6.5486443 53.3486862, -6.5488589 53.3486473, -6.5489711 53.3488681)), ((-6.5496929 53.3484435, -6.5497148 53.3484913, -6.5494935 53.3485273, -6.5494716 53.3484795, -6.5496929 53.3484435)))",school,Scoil Mochua,,,
"MULTIPOLYGON (((-6.5540339 53.3401301, -6.5539633 53.3401933, -6.553794 53.3401259, -6.5538551 53.3400712, -6.5538317 53.3400619, -6.5539879 53.339922, -6.5541355 53.3399808, -6.5541648 53.3399545, -6.554277 53.3399991, -6.5542457 53.3400272, -6.5543168 53.3400555, -6.5546047 53.3397972, -6.5548744 53.3399044, -6.5545712 53.3401764, -6.554759 53.340251, -6.5547065 53.340298, -6.5546526 53.3402766, -6.5545284 53.3403881, -6.5543984 53.3403365, -6.5541013 53.3406033, -6.5538609 53.3405079, -6.5541643 53.3402355, -6.5541242 53.3402195, -6.5541795 53.3401699, -6.5541191 53.3401458, -6.5541051 53.3401584, -6.5540339 53.3401301)), ((-6.5546952 53.3402029, -6.5549558 53.3399756, -6.5551929 53.3400725, -6.5549323 53.3402998, -6.5546952 53.3402029)), ((-6.5550051 53.3398196, -6.5549841 53.339857, -6.554956 53.3399072, -6.5545939 53.3397665, -6.5546901 53.3397004, -6.5550051 53.3398196)))",school,Scoil na Mainistreach,,,
"MULTIPOLYGON (((-6.5494218 53.3496049, -6.5493676 53.3496153, -6.5493909 53.3496583, -6.5492236 53.3496907, -6.5491857 53.3496208, -6.5491262 53.3496323, -6.549108 53.3495986, -6.5491744 53.3495858, -6.549107 53.3494609, -6.5490863 53.3494648, -6.5490654 53.3494259, -6.5490944 53.3494204, -6.5490247 53.3492899, -6.5489688 53.3493005, -6.5489479 53.3492613, -6.5490134 53.3492489, -6.5489445 53.349119, -6.5493352 53.3490452, -6.5493396 53.3490535, -6.549508 53.3490221, -6.5495772 53.3491544, -6.5494447 53.3491791, -6.5494036 53.3491003, -6.5491957 53.349139, -6.549219 53.3491836, -6.5491415 53.349198, -6.5492532 53.3494126, -6.5497741 53.3493161, -6.5498304 53.3494245, -6.5497142 53.349446, -6.5497379 53.3494916, -6.5494566 53.3496691, -6.5494218 53.3496049)), ((-6.5496694 53.349304, -6.5492954 53.3493692, -6.5492328 53.3492412, -6.5496068 53.349176, -6.5496694 53.349304)), ((-6.5496056 53.3488473, -6.5493369 53.3488969, -6.5493726 53.3489659, -6.5493283 53.3489741, -6.5493574 53.3490304, -6.5489124 53.3491125, -6.5488819 53.3490536, -6.5491011 53.3490132, -6.5490941 53.3489997, -6.5491748 53.3489848, -6.5491174 53.3488738, -6.5492707 53.3488455, -6.549253 53.3488112, -6.5493049 53.3488017, -6.5492874 53.3487677, -6.5492611 53.3487725, -6.5492329 53.3487179, -6.5494407 53.3486796, -6.5494719 53.3487399, -6.5495687 53.3487221, -6.5495604 53.3487061, -6.5498118 53.3486597, -6.5498471 53.348728, -6.5496793 53.3487589, -6.5496988 53.3487967, -6.5498701 53.3487651, -6.5499072 53.3488368, -6.549627 53.3488885, -6.5496056 53.3488473)), ((-6.5501744 53.3488133, -6.5502088 53.3488814, -6.5499423 53.3489294, -6.5499079 53.3488614, -6.5501744 53.3488133)), ((-6.5497693 53.3492873, -6.549654 53.3489807, -6.5501979 53.3488914, -6.5502454 53.3490303, -6.550321 53.3490619, -6.5502552 53.3491408, -6.5501743 53.3492356, -6.5500059 53.3493728, -6.5498894 53.3493297, -6.5498699 53.3492977, -6.5497693 53.3492873)))",school,Aghard's National School,,,
"POLYGON ((-6.2897162 53.3479127, -6.2892072 53.3478875, -6.2890474 53.3478815, -6.2891089 53.3473302, -6.2891072 53.3472785, -6.2894138 53.347313, -6.2894282 53.3473574, -6.2894737 53.3473621, -6.289529 53.3473739, -6.289565 53.3473388, -6.2897746 53.3473713, -6.2898471 53.3474047, -6.2898554 53.3474658, -6.2898651 53.3479149, -6.2897162 53.3479127))",fire_station,Dublin Civil Defence Headquarters,Wolfe Tone Quay,,Dublin
"POLYGON ((-6.3493058 53.3509069, -6.3491217 53.3507896, -6.3492536 53.3507158, -6.3492139 53.3506906, -6.3492857 53.3506504, -6.3493253 53.3506757, -6.3493695 53.350651, -6.3492857 53.3505976, -6.3491926 53.3506496, -6.3491369 53.3506141, -6.3491101 53.3506291, -6.3490002 53.350559, -6.3489673 53.3505779, -6.3490193 53.3506073, -6.3490246 53.3506052, -6.3491198 53.3506647, -6.3487671 53.3508115, -6.3485475 53.3506107, -6.348432 53.3505265, -6.3486278 53.3503624, -6.3486978 53.3503971, -6.3487232 53.3503825, -6.3486403 53.3503297, -6.3487047 53.3502937, -6.3486976 53.3502891, -6.3489972 53.3501216, -6.3493154 53.3503243, -6.3490369 53.35048, -6.3491161 53.3505305, -6.3493511 53.350399, -6.3494618 53.3504696, -6.3494058 53.3505009, -6.3495287 53.3505792, -6.3495525 53.3505659, -6.3495984 53.3505951, -6.3495731 53.3506093, -6.3495816 53.3506146, -6.349597 53.3506058, -6.3496919 53.3506646, -6.3496697 53.3506773, -6.3498104 53.3507645, -6.3498484 53.3507426, -6.3498891 53.3507687, -6.3496732 53.3508895, -6.3496182 53.3508545, -6.3495632 53.3508853, -6.349533 53.3509025, -6.3493784 53.3508053, -6.3493391 53.3508278, -6.3495422 53.3509556, -6.3495698 53.3509398, -6.3496425 53.3509855, -6.3495228 53.3510539, -6.3492964 53.3509127, -6.3493058 53.3509069), (-6.34901 53.3503901, -6.3491049 53.350337, -6.3489848 53.3502605, -6.3488897 53.3503134, -6.34901 53.3503901), (-6.3487545 53.350666, -6.3488916 53.3506126, -6.3488133 53.350541, -6.3488643 53.3505211, -6.3488297 53.3504895, -6.3487787 53.3505093, -6.3487067 53.3504599, -6.3486314 53.350519, -6.3486852 53.3505571, -6.3486503 53.3505707, -6.3487545 53.350666))",nursing_home,,,,
POINT (-6.39116 53.3907258),library,Blanchardstown Library,Blanchardstown Centre,,
POINT (-6.3782581 53.3866265),post_office,Blanchardstown Post Office,Main Street,An Post,Blanchardstown
POINT (-6.2622225 53.354458),post_depot,Dublin 1 Delivery Office,Rutland Place,,Dublin
POINT (-6.3920177 53.3921594),post_office,Blanchardstown Centre Post Office,Blanchardstown Centre,An Post,Blanchardstown
POINT (-6.355207 53.3528538),nursing_home,Glenaulin Nursing Home,Glenaulin,,
POINT (-6.4509427 53.3564069),bank,AIB,Main Street,AIB,Lucan
POINT (-6.3985108 53.5122838),bank,Bank of Ireland,Frederick Street,Bank of Ireland,Ashbourne
POINT (-6.3990781 53.5126824),pharmacy,Stephan Nolan,,,
POINT (-6.3690846 53.3556489),bank,Ulster Bank,,Ulster Bank,
POINT (-6.4905341 53.3639283),post_office,Leixlip Post Office,,An Post,
POINT (-6.5822944 53.3811968),pharmacy,McCartan's,,,
POINT (-6.5855945 53.381451),post_office,Post Office,,An Post,
POINT (-6.5883375 53.3803446),pharmacy,Callagy's,,,
POINT (-6.5983163 53.3753495),veterinary,Maynootth Veterinary Clinic,,,
POINT (-6.5866214 53.3656357),post_depot,Maynooth Delivery Office,Maynooth Business Campus,,Maynooth
POINT (-6.5928344 53.4326954),post_office,Kilclone Post Office,,An Post,Kilclone
POINT (-6.5980751 53.3789304),library,Russell Library,,,
POINT (-6.5987003 53.378744),place_of_worship,Saint Mary Oratory,,,
POINT (-6.5960919 53.380508),place_of_worship,Saint Joseph Oratory,,,
POINT (-6.5959168 53.3791597),post_office,Postroom,Parson Street,,Maynooth
POINT (-6.6002769 53.3842912),post_office,Postroom,Kilcock Road,,Maynooth
POINT (-6.5996077 53.3835584),place_of_worship,Saint Catherine's Oratory,,,
POINT (-6.600169 53.3839395),bank,AIB,,AIB,
POINT (-6.6015676 53.3841698),place_of_worship,Quiet Room,,,
POINT (-6.5035736 53.366026),pharmacy,Griffin's Pharmacy,,,
POINT (-6.5175204 53.3649093),pharmacy,Gleneaston Pharmacy,Gleneaston,,Leixlip
POINT (-6.333014 53.3759428),pharmacy,Lloyds Pharmacy,Ashtown Road,Lloyds Pharmacy,
POINT (-6.5944339 53.3817668),bank,KBC,,KBC,
POINT (-6.5943499 53.3818007),pharmacy,Hickey's Pharmacy,,,
POINT (-6.5945174 53.3595578),place_of_worship,,,,
POINT (-6.4502285 53.3572731),bank,Bank of Ireland,Main Street,Bank of Ireland,
POINT (-6.4505182 53.3567845),bank,Permanent TSB,,Permanent TSB,Lucan
POINT (-6.4503934 53.3568936),pharmacy,,,,
POINT (-6.4472692 53.3588145),pharmacy,,Main Street,,
POINT (-6.4741024 53.418822),pharmacy,Your Local Pharmacy,Station Road,,
POINT (-6.5988878 53.3836976),doctors,Student Medical Centre,,,
POINT (-6.5402602 53.5108784),post_office,Dunshaughlin Post Office,The Gables,An Post,Dunshaughlin
POINT (-6.5390031 53.5059489),post_depot,Dunshaughlin Sorting Office,,,Dunshaughlin
POINT (-6.4390639 53.3956054),pharmacy,Hickey's,Main Street,,
POINT (-6.4387627 53.3957026),doctors,The Meridian Clinic,The Avenue,,
POINT (-6.2653988 53.3506158),pharmacy,Parnell Pharmacy,,,Dublin
POINT (-6.3838306 53.4197034),pharmacy,Hickeys,Tyrrelstown Plaza,,Tyrrelstown
POINT (-6.2828673 53.3510844),pharmacy,Janet Dillon,Stoneybatter,,
POINT (-6.270685 53.3506584),social_facility,Citizens Information,,,
POINT (-6.2724918 53.3610977),place_of_worship,Universal Church of the Kingdom of God,,,
POINT (-6.2682696 53.3706591),pharmacy,Reddy's,Saint Mobhi Road,,Dublin
POINT (-6.3784579 53.4055823),bank,,,,
POINT (-6.2714277 53.3661861),post_office,Botanic Road Post Office,Botanic Road,An Post,Dublin
POINT (-6.3772613 53.3775657),pharmacy,,,,
POINT (-6.2870706 53.3559234),post_office,Prussia Street Post Office,Prussia Street,An Post,Dublin
POINT (-6.3982035 53.4029812),pharmacy,Touchstone Pharmacy,Old Navan Road,,
POINT (-6.2656774 53.3714967),kindergarten,,,,
POINT (-6.2727537 53.3670842),doctors,Glasnevin Family Practice,,,
POINT (-6.2837013 53.3524401),pharmacy,Manor Pharmacy,,,
POINT (-6.4903729 53.3637956),pharmacy,Gaffney's Pharmacy,,,
POINT (-6.3818542 53.3830188),pharmacy,Boots,,Boots,
POINT (-6.3935212 53.4056907),pharmacy,Bradleys Pharmacy,,,
POINT (-6.5938382 53.382324),doctors,Primacare,,,
POINT (-6.4202751 53.392348),pharmacy,Hartstown Pharmacy,,,
POINT (-6.450656 53.356638),post_office,Lucan Post Office,Main Street,An Post,Lucan
POINT (-6.4460755 53.3590892),bank,Ulster Bank,Main Street,Ulster Bank,
POINT (-6.2702942 53.351047),post_office,North King Street Post Office,North King Street,An Post,Dublin
POINT (-6.3786965 53.4049646),library,TU Dublin Blanchardstown Library,,,
POINT (-6.2982633 53.3522296),veterinary,Cara Veterinary Practice,North Circular Road,,
POINT (-6.2724935 53.361161),bank,Ulster Bank,Phibsborough Road,Ulster Bank,
POINT (-6.2728836 53.3611619),bank,Permanent TSB,Phibsborough Road,Permanent TSB,Dublin
POINT (-6.2723569 53.361335),doctors,Cosmedics,,,Dublin
POINT (-6.2730881 53.3615976),pharmacy,Hickey's Pharmacy,Phibsboro Shopping Centre,,Dublin
POINT (-6.4313604 53.3595074),veterinary,MyVet,,,
POINT (-6.5836451 53.3799834),pharmacy,Boots,,Boots,
POINT (-6.3979276 53.5114058),bank,AIB,,AIB,
POINT (-6.4001657 53.5112974),pharmacy,Adrian Dunne,,,
POINT (-6.400045 53.5116993),library,,,,
POINT (-6.4010883 53.5119928),pharmacy,Boots,,Boots,Ashbourne
POINT (-6.4358318 53.398504),kindergarten,Cocoon Childcare,,,
POINT (-6.4043745 53.4029378),kindergarten,Little People Academy,,,
POINT (-6.3998228 53.5110513),bank,Ulster Bank,,Ulster Bank,
POINT (-6.3675523 53.3933627),kindergarten,Waterville's Little Stars,Kilmore Terrace,,
POINT (-6.4672629 53.4848383),kindergarten,Forever Friends Pre-School,,,
POINT (-6.4668025 53.5020992),kindergarten,,,,
POINT (-6.58833 53.3802757),doctors,Dr. Denis Gaffney,,,
POINT (-6.259357 53.3568691),place_of_worship,Dublin Zen Dojo,Gardiner Street Upper,,
POINT (-6.4761051 53.4207042),kindergarten,Little Scholars Creche,,,
POINT (-6.4769751 53.4202759),post_office,Dunboyne Post Office,Summerhill Road,An Post,Dunboyne
POINT (-6.476144 53.4205962),pharmacy,Dunyboyne Pharmacy,,,
POINT (-6.2643669 53.3567129),post_office,Dorset Street Post Office,Dorset Street Upper,An Post,Dublin
POINT (-6.2650451 53.3560314),pharmacy,Medipharm,North Frederick Street,,Dublin
POINT (-6.4757272 53.4192088),pharmacy,McElroy's Pharmacy,,,
POINT (-6.4263468 53.4045203),pharmacy,,,,
POINT (-6.5950325 53.3816337),kindergarten,Gymboree,,,
POINT (-6.5890018 53.3744799),kindergarten,Kinder Crescent,,,
POINT (-6.594424 53.3701677),kindergarten,Minows,,,
POINT (-6.6056422 53.3821422),doctors,Leinster Clinic,,,
POINT (-6.3907779 53.3534772),bank,Permanent TSB,,Permanent TSB,
POINT (-6.2851174 53.3612594),doctors,Cabra Medical Centre,Cabra Road,,Dublin
POINT (-6.2743238 53.3606864),post_office,Phibsborough Post Office,North Circular Road,An Post,
POINT (-6.2868783 53.3906698),pharmacy,McCabe's Pharmacy,Glasnevin Avenue,,
POINT (-6.2865152 53.3906674),post_office,Finglas East Post Office,Glasnevin Avenue,An Post,
POINT (-6.4873504 53.3711582),pharmacy,River Forest Pharmacy,,,
POINT (-6.489002 53.3686938),social_facility,Ryevale Nursing Home,,,
POINT (-6.4982291 53.3669162),kindergarten,Little Harvard,,,
POINT (-6.5395906 53.5120087),pharmacy,Toole's,Main Street,,Dunshaughlin
POINT (-6.2656091 53.385415),pharmacy,Chamber's Pharmacy,Ballymun Road,,Dublin
POINT (-6.2597081 53.4035721),pharmacy,McCabes Pharmacy,,,
POINT (-6.2591529 53.3857324),pharmacy,Pharmhealth,,,
POINT (-6.5399907 53.5108861),pharmacy,Kavanagh's Pharmacy,The Gables,,Dunshaughlin
POINT (-6.5762092 53.4202655),school,Stepping Stones,,,
POINT (-6.5880633 53.374146),pharmacy,St Patrick's Pharmacy,,,
POINT (-6.3990412 53.506262),pharmacy,O'Donnell's Pharmacy,Garden City Shopping Centre,,Ashbourne
POINT (-6.52318 53.3650018),kindergarten,Little Harvard,,,
POINT (-6.258425 53.3631939),post_office,Drumcondra Post Office,Drumcondra Road Lower,An Post,Dublin
POINT (-6.4879031 53.371456),pharmacy,Feericks,,,
POINT (-6.4874046 53.3711135),doctors,Medical & Dental Centre,Riverforest SC,,
POINT (-6.3826533 53.5674683),post_office,Garristown Post Office,Grallagh Road,An Post,Garristown
POINT (-6.617875 53.544724),post_office,Dunsany Post Office,,An Post,Dunsany
POINT (-6.2725839 53.3614702),pharmacy,Boots,Phibsborough Road,Boots,
POINT (-6.2988097 53.361276),pharmacy,Maple Pharmacy,,,
POINT (-6.5855769 53.3812634),veterinary,Carton veterinary,,,
POINT (-6.5777506 53.3810339),place_of_worship,River Valley,Dublin Road,,Maynooth
POINT (-6.2683683 53.3510182),library,Bolton Street Library,,,
POINT (-6.2621509 53.3535826),school,Gaelscoil Colaiste Mhuire,Parnell Square East,,Dublin
POINT (-6.2710002 53.3508045),school,,,,
POINT (-6.5932661 53.3815654),school,Rye Institute,,,
POINT (-6.4100652 53.3829052),pharmacy,Clonsilla Pharmacy,,,
POINT (-6.3840968 53.4196021),doctors,Primacare,Tyrrelstown Plaza,,Dublin
POINT (-6.3039718 53.3632598),pharmacy,O'Connell Properties,,,
POINT (-6.3631963 53.3748409),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.3895882 53.3724176),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.2858274 53.5559921),place_of_worship,Damastown Church,,,
POINT (-6.5867072 53.3775544),clinic,XPert Therapy,,,
POINT (-6.4026529 53.354871),kindergarten,Giraffe Childcare,,,
POINT (-6.2867161 53.3562792),doctors,Medicus Medical Centre,Prussia Street,,
POINT (-6.2868302 53.3562803),pharmacy,The Park Pharmacy,Prussia Street,,
POINT (-6.2688339 53.3550273),social_facility,Focus Ireland,,,
POINT (-6.2868333 53.3533701),doctors,Rory Daly Chiropodist,Aughrim Street,,Dublin
POINT (-6.2974778 53.4020474),pharmacy,Hickey's Pharmacy,Meakstown Commercial Centre,,Dublin
POINT (-6.2768684 53.382782),post_office,Ballygall Road Post Office,Fitzmaurice Road,An Post,Glasnevin
POINT (-6.2764956 53.3816647),doctors,Cremore Clinic,Ballygall Road East,,Dublin
POINT (-6.2638713 53.3521982),doctors,EMC Medical & Dental Clinic,Parnell Square West,,Dublin
POINT (-6.2643219 53.3525024),place_of_worship,Christian Congregation in Ireland,Parnell Square West,,Dublin
POINT (-6.2730782 53.3618427),bank,EBS Phibsboro,Phibsborough Road,EBS,Dublin
POINT (-6.2656136 53.3851927),doctors,College Gate Clinic,Ballymun Road,,Dublin
POINT (-6.2718115 53.3897379),post_office,Glasnevin Avenue Post Office,Glasnevin Avenue,An Post,Dublin
POINT (-6.2940362 53.390761),doctors,Clune Road Medical Centre,Clune Road,,Dublin
POINT (-6.2944476 53.3912431),pharmacy,McKee Pharmacy,McKee Road,,
POINT (-6.2906069 53.3986769),kindergarten,The Wind in the Willows Pre-School,Jamestown Road,,Dublin
POINT (-6.278332 53.3902136),doctors,Glasnevin Avenue Surgery,Glasnevin Avenue,,Dublin
POINT (-6.2867924 53.39065),doctors,Glasnevin Avenue Medical Centre,Glasnevin Avenue,,
POINT (-6.2967333 53.4015181),childcare,Apple of my Eye,Meakstown Commercial Centre,,Dublin
