rec_tourist_spots_geometry,rec_tourist_spots_tag,rec_tourist_spots_address,rec_tourist_spots_street,rec_tourist_spots_city
POINT (-6.2616703 53.3275519),pub,Mountpleasant Inn (Corrigans),Mountpleasant Avenue Lower,
POINT (-6.2660218 53.3213268),cafe,Pot Bellied Pig,Rathmines Road Upper,
POINT (-6.2647547 53.3191739),restaurant,Zen (Closed),Rathmines Road Upper,Dublin
POINT (-6.2659052 53.3452146),cafe,Stage Door,Essex Street East,Dublin
POINT (-6.2659945 53.3451971),restaurant,Falafel and Kebab;Falafel,Essex Street East,
POINT (-6.2651292 53.3448713),restaurant,Al Vesuvio,,
POINT (-6.2762154 53.3432967),arts_centre,La Catedral Studios,,
POINT (-6.539942 53.3389823),pub,Kildrought,Main Street,Celbridge
POINT (-6.2734533 53.3362336),pub,Peadar Browns,Clanbrassil Street Lower,Dublin
POINT (-6.2641559 53.3418854),pub,The Secret Bar / The Bar With No Name,Fade Street,Dublin
POINT (-6.2658862 53.3404833),cafe,The Bald Barista,Aungier Street,
POINT (-6.2700354 53.3430907),pub,The Lord Edward,Christchurch Place,Dublin
POINT (-6.5253745 53.2347046),pub,Kilteel Pub,,
POINT (-6.3195456 53.3079564),pub,The Laurels,,
POINT (-6.3188972 53.3073383),pub,The Pines,,
POINT (-6.304945 53.328038),pub,Shearys,,
POINT (-6.2633612 53.3473641),pub,The Lotts,Liffey Street Lower,Dublin
POINT (-6.2865015 53.3420131),bar,The Source Bar,,
POINT (-6.2864327 53.3417171),restaurant,Brewery Bar,,
POINT (-6.286488 53.3419024),bar,Gravity Bar,,
POINT (-6.2656232 53.3475941),cafe,Insomnia,,Dublin
POINT (-6.2655313 53.347264),restaurant,Madegg,,Dublin
POINT (-6.2655927 53.3474282),restaurant,KOH,Millennium Walkway,Dublin
POINT (-6.267717 53.3450511),restaurant,Ciao Bella Roma,Parliament Street,
POINT (-6.2652089 53.3468692),cafe,Amir's Delights,Great Strand Street,Dublin
POINT (-6.2653484 53.3468307),restaurant,Botticelli,Great Strand Street,Dublin
POINT (-6.2664581 53.344813),cafe,,,
POINT (-6.2717906 53.3482366),cafe,Brendan's Coffee Shop,Mary's Lane,Dublin
POINT (-6.2788764 53.3498707),pub,Delaney's,North King Street,Dublin
POINT (-6.2789385 53.3468002),cafe,Cinnamon Cafe,,
POINT (-6.4517157 53.3410835),restaurant,China House,,
POINT (-6.259625 53.3406007),arts_centre,Kerlin Gallery,,
POINT (-6.2649768 53.3464093),restaurant,Bar Italia,Ormond Quay Lower,
POINT (-6.2656383 53.3449807),restaurant,Eden,,
POINT (-6.3632325 53.2902971),cafe,Canteen,,
POINT (-6.2638583 53.3435568),restaurant,Odessa,Dame Court,
POINT (-6.2704646 53.3492625),pub,Bar 1661,Green Street,Dublin
POINT (-6.2718646 53.3456777),pub,The Chancery Inn,Inns Quay,Dublin
POINT (-6.3621864 53.2880299),pub,The Dragon Inn,Main Street,Tallaght
POINT (-6.3964111 53.3286777),pub,The Waterside,,
POINT (-6.2642478 53.342495),cafe,Simon's Place,,
POINT (-6.2630075 53.342526),cafe,Blazing Salads,Drury Street,Dublin
POINT (-6.2640776 53.3456106),restaurant,Botticelli,Temple Bar,Dublin
POINT (-6.5118149 53.3536362),cafe,Main Cafeteria,,
POINT (-6.2644324 53.3337956),cafe,O'Brien's,,
POINT (-6.2652198 53.3363395),cafe,Off Beat Donut Co,Camden Street Lower,Dublin
POINT (-6.2648447 53.336535),restaurant,Cafe Bliss,Montague Street,Dublin
POINT (-6.2628815 53.3373869),restaurant,,,
POINT (-6.2748187 53.3502119),restaurant,Soup 2,North King Street,Dublin
POINT (-6.4322282 53.3403609),restaurant,Di Bella,lucan,
POINT (-6.432378 53.340405),restaurant,Pizza Hut,,
POINT (-6.2652725 53.3237527),cinema,Rathmines Omniplex,Rathmines Road Lower,Dublin
POINT (-6.2652564 53.3238297),restaurant,Manifesto,Rathmines Road Lower,Dublin
POINT (-6.2822825 53.3140208),cafe,The Corner Bakery,Terenure Road North,
POINT (-6.2634876 53.3363253),restaurant,Saagar,,
POINT (-6.263421 53.3476654),restaurant,Burdock's,,
POINT (-6.2773181 53.3470275),cafe,Donuts and Coffee,,
POINT (-6.2611924 53.3397153),restaurant,TGI Fridays,St. Stephen's Green,Dublin
POINT (-6.2602178 53.3472251),cafe,Like A Coffee,,
POINT (-6.3907174 53.3530264),cafe,Kylemore,,
POINT (-6.3913075 53.3522707),cafe,Costa,,
POINT (-6.3926602 53.3526547),restaurant,Nando's,,
POINT (-6.2654825 53.3226013),restaurant,Elephant & Castle,Rathmines Road Lower,
POINT (-6.6231551 53.2383931),cafe,Garden Café,,
POINT (-6.2654765 53.3360277),bar,The Camden,Camden Street Lower,Dublin
POINT (-6.2635091 53.335436),nightclub,Copper Face Jacks,Harcourt Street,
POINT (-6.2635641 53.3358434),pub,Krystle,Harcourt Street,
POINT (-6.2645311 53.3337931),cafe,Insomnia,,
