,,,,,,A,B
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,internet_cafe,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,kindergarten,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,car_sharing,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,post_box,,,,
,,,bar,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,car_wash,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,telephone,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,shelter,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,casino,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,watering_place,,,,
,,,watering_place,,,,
,,,watering_place,,,,
,,,waste_basket,,,,
,,,fountain,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,telephone,,,,
,,,parking_entrance,,,,
,,,post_office,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,clock,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,shelter,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,shelter,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,toilets,,,,
,,,toilets,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,community_centre,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,dentist,,,,
,,,kindergarten,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,college,,,,
,,,kindergarten,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,atm,,,,
,,,charging_station,,,,
,,,atm,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,place_of_worship,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,dentist,,,,
,,,waste_basket,,,,
,,,post_office,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,parking,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bank,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,car_wash,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,toilets,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,toilets,,,,
,,,parking,,,,
,,,parking_entrance,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,childcare,,,,
,,,atm,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,community_centre,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,telephone,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,studio,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,waste_basket,,,,
,,,taxi,,,,
,,,waste_basket,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,post_office,,,,
,,,kindergarten,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,car_wash,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,pub,,,,
,,,cafe,,,,
,,,telephone,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,pharmacy,,,,
,,,bar,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,waste_basket,,,,
,,,bicycle_repair_station,,,,
,,,parking_entrance,,,,
,,,car_wash,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,doctors,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,community_centre,,,,
,,,waste_basket,,,,
,,,clinic,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,post_office,,,,
,,,bench,,,,
,,,parcel_locker,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,fountain,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,cafe,,,,
,,,ice_cream,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,kindergarten,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,post_office,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,dentist,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,cafe,,,,
,,,shelter,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,post_office,,,,
,,,toilets,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,clinic,,,,
,,,dojo,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,school,,,,
,,,atm,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,music_school,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,pub,,,,
,,,post_office,,,,
,,,doctors,,,,
,,,toilets,,,,
,,,clinic,,,,
,,,atm,,,,
,,,atm,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,bar,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,bar,,,,
,,,community_centre,,,,
,,,fast_food,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,shelter,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,doctors,,,,
,,,cafe,,,,
,,,fuel,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,charging_station,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,taxi,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,dentist,,,,
,,,dentist,,,,
,,,bank,,,,
,,,clinic,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,community_centre,,,,
,,,community_centre,,,,
,,,community_centre,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,table,,,,
,,,table,,,,
,,,bicycle_parking,,,,
,,,table,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
,,,vending_machine,,,,
,,,vending_machine,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,vending_machine,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,kindergarten,,,,
,,,toilets,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,dentist,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,social_facility,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,library,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_office,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,toilets,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,parking,,,,
,,,parking,,,,
,,,restaurant,,,,
,,,doctors,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,veterinary,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,marketplace,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,dentist,,,,
,,,fast_food,,,,
,,,charging_station,,,,
,,,charging_station,,,,
,,,charging_station,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,parking,,,,
,,,parking,,,,
,,,clinic,,,,
,,,charging_station,,,,
,,,parking_entrance,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,dentist,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,clock,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,doctors,,,,
,,,doctors,,,,
,,,vending_machine,,,,
,,,language_school,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,car_wash,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,compressed_air,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,doctors,,,,
,,,dentist,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,casino,,,,
,,,car_wash,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,taxi,,,,
,,,fountain,,,,
,,,fountain,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,toilets,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,taxi,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,clock,,,,
,,,waste_basket,,,,
,,,car_wash,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,clinic,,,,
,,,waste_basket,,,,
,,,toilets,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,kindergarten,,,,
,,,post_box,,,,
,,,recycling,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,parking_space,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,dentist,,,,
,,,doctors,,,,
,,,fast_food,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,internet_cafe,,,,
,,,waste_basket,,,,
,,,clinic,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,social_facility,,,,
,,,cafe,,,,
,,,ice_cream,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,ice_cream,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,kindergarten,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,parking,,,,
,,,post_office,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bank,,,,
,,,food_court,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,casino,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,studio,,,,
,,,kindergarten,,,,
,,,food_court,,,,
,,,cafe,,,,
,,,food_court,,,,
,,,restaurant,,,,
,,,college,,,,
,,,doctors,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,doctors,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,telephone,,,,
,,,waste_basket,,,,
,,,car_rental,,,,
,,,waste_basket,,,,
,,,fuel,,,,
,,,parking_entrance,,,,
,,,kindergarten,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,social_facility,,,,
,,,restaurant,,,,
,,,bank,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,bank,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,vending_machine,,,,
,,,atm,,,,
,,,bicycle_parking,,,,
,,,parking,,,,
,,,car_sharing,,,,
,,,kindergarten,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,bench,,,,
,,,recycling,,,,
,,,bicycle_parking,,,,
,,,bar,,,,
,,,community_centre,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,taxi,,,,
,,,waste_basket,,,,
,,,social_facility,,,,
,,,bench,,,,
,,,doctors,,,,
,,,waste_basket,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,community_centre,,,,
,,,parking_entrance,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,post_office,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,vending_machine,,,,
,,,parking_entrance,,,,
,,,vending_machine,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,vending_machine,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,kindergarten,,,,
,,,bench,,,,
,,,bench,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,music_school,,,,
,,,atm,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,casino,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,bank,,,,
,,,doctors,,,,
,,,money_transfer,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,grit_bin,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,fast_food,,,,
